account_id,customer_name,account_type,branch,transaction_type,transaction_amount,account_balance,currency
ACC00025,Mary Gordon,Current,New York,Debit,133.13999999999999,61228.849999999999,USD
ACC00026,Shawn Mcguire,Current,Houston,Debit,4688.1099999999997,29512.91,JPY
ACC00027,Victoria Greene,Fixed Deposit,Phoenix,Debit,1222.8599999999999,81274.270000000004,USD
ACC00028,Kimberly Gonzalez,Current,New York,Debit,3998.23,5871.2600000000002,EUR
ACC00029,Diana Owens,Current,Los Angeles,Credit,4097.3299999999999,82536.619999999995,GBP
ACC00030,Jane Gonzalez MD,Fixed Deposit,Los Angeles,Debit,2286.73,61707.199999999997,INR
ACC00031,Jasmine Cooper,Current,Phoenix,Credit,3548.1100000000001,17274.5,USD
ACC00032,Carla Munoz,Savings,Chicago,Debit,2522.1700000000001,21325.209999999999,JPY
ACC00033,Isaac Bolton,Recurring Deposit,San Diego,Credit,1607.5899999999999,82879.740000000005,USD
ACC00034,Heather Mcdowell,Fixed Deposit,Chicago,Credit,1621.6800000000001,16335.32,JPY
ACC00035,Paul Harris,Savings,Phoenix,Credit,3680.7399999999998,59576.910000000003,USD
ACC00036,Dr. Tammy Hinton,Fixed Deposit,New York,Debit,113.70999999999999,35213.260000000002,USD
ACC00037,Andrew Martinez,Fixed Deposit,Philadelphia,Credit,4162.9899999999998,16522.709999999999,USD
ACC00038,Christina Berg,Savings,San Antonio,Debit,2846.1199999999999,65268.419999999998,INR
ACC00039,Carmen Carter,Savings,Philadelphia,Debit,1878.25,99366.770000000004,EUR
ACC00040,Robert Wright,Recurring Deposit,Houston,Credit,2068.21,55714.589999999997,GBP
ACC00041,Michael Bates,Recurring Deposit,Houston,Credit,1996.1700000000001,73403.149999999994,INR
ACC00042,Sarah Nixon,Current,Philadelphia,Debit,818.61000000000001,21902.07,USD
ACC00043,Clayton Ibarra,Savings,Philadelphia,Debit,3436.1999999999998,48114.639999999999,USD
ACC00044,Shelby Brown,Fixed Deposit,San Antonio,Debit,4158.46,796.80999999999995,INR
ACC00045,Jessica Day,Recurring Deposit,Chicago,Credit,4081.4899999999998,42236.839999999997,USD
ACC00046,William Morrow,Current,Houston,Debit,985.13999999999999,79001.830000000002,JPY
ACC00047,Alice Diaz,Fixed Deposit,Phoenix,Credit,2925.1599999999999,32235.25,USD
ACC00048,Kenneth Stevens,Current,Philadelphia,Credit,3486.73,18562.59,EUR
ACC00049,Lisa Chen,Savings,Chicago,Debit,880.59000000000003,50649.93,INR
ACC00050,John Vega,Fixed Deposit,San Diego,Credit,2419.0900000000001,2109.8299999999999,GBP
ACC00051,Robert Sherman,Fixed Deposit,Houston,Debit,4318.8000000000002,68715.559999999998,GBP
ACC00052,Michael Barrett,Fixed Deposit,Chicago,Credit,1775.2,17227.18,INR
ACC00053,Shelly Carter,Current,Philadelphia,Debit,3030.0100000000002,48218.879999999997,INR
ACC00054,Cynthia Watkins,Recurring Deposit,Houston,Debit,181.47,77919.100000000006,GBP
ACC00055,Kenneth Rogers,Fixed Deposit,San Diego,Credit,430.31999999999999,34015.589999999997,GBP
ACC00056,Chad Wilson,Recurring Deposit,Philadelphia,Credit,580.05999999999995,3690.8400000000001,GBP
ACC00057,Scott Clark,Savings,Philadelphia,Debit,4654.8800000000001,62999.010000000002,INR
ACC00058,Mackenzie Black,Fixed Deposit,Chicago,Debit,4623.0799999999999,43875.169999999998,GBP
ACC00059,William Munoz,Recurring Deposit,Philadelphia,Credit,4806.54,23910.779999999999,GBP
ACC00060,Natasha Hurst,Savings,Chicago,Debit,882.71000000000004,75769.199999999997,JPY
ACC00061,Tamara Cruz,Current,San Diego,Credit,2653.1100000000001,57726.309999999998,JPY
ACC00062,Denise Williamson,Fixed Deposit,Philadelphia,Debit,3973.0500000000002,7176.9499999999998,USD
ACC00063,Michael Reed,Fixed Deposit,Phoenix,Debit,4615.7799999999997,47326.290000000001,EUR
ACC00064,Stefanie Wilson,Savings,Los Angeles,Credit,4637.4099999999999,393.00999999999999,GBP
ACC00065,Daniel Ramirez,Fixed Deposit,Philadelphia,Debit,1704.71,41720.660000000003,EUR
ACC00066,Amanda Mckenzie,Current,Houston,Debit,3049.5799999999999,90044.470000000001,USD
ACC00067,Sarah Johnson,Savings,Phoenix,Debit,3780.1700000000001,72696.160000000003,GBP
ACC00068,Daniel Ramos,Fixed Deposit,Chicago,Debit,596.72000000000003,63754.650000000001,EUR
ACC00069,Maria Wright,Recurring Deposit,San Antonio,Credit,2065.1799999999998,74679.009999999995,EUR
ACC00070,Holly Trujillo MD,Fixed Deposit,Houston,Credit,1754.78,18542.639999999999,GBP
ACC00071,Michael Martinez,Savings,Los Angeles,Credit,4692,46234.57,JPY
ACC00072,Austin Bird,Savings,Houston,Credit,1671.0799999999999,26729.259999999998,JPY
ACC00073,Sheila Hogan,Recurring Deposit,Houston,Credit,676.15999999999997,71837.220000000001,EUR
ACC00074,Barbara White,Fixed Deposit,Houston,Credit,691.54999999999995,7499.0900000000001,JPY
ACC00075,Kevin Davis,Current,Los Angeles,Debit,955.62,49465.989999999998,EUR
ACC00076,Jessica Ponce,Recurring Deposit,Chicago,Credit,568.66999999999996,31823.939999999999,GBP
ACC00077,Michelle Wilson,Current,Chicago,Credit,4547.3900000000003,57360.650000000001,USD
ACC00078,Kenneth Brown,Recurring Deposit,Phoenix,Debit,4595.1300000000001,67980.100000000006,EUR
ACC00079,Sherri Brown,Fixed Deposit,Houston,Credit,817.20000000000005,52708.800000000003,EUR
ACC00080,Jessica Young,Savings,Chicago,Credit,1057.53,82039.350000000006,EUR
ACC00081,Xavier Landry,Current,Phoenix,Credit,65.810000000000002,62071.519999999997,GBP
ACC00082,Leslie Hernandez,Current,San Diego,Debit,2763.8200000000002,74837.429999999993,USD
ACC00083,Jonathan Thompson,Recurring Deposit,Philadelphia,Debit,3471.3699999999999,13249.1,USD
ACC00084,Ann Carroll,Current,Chicago,Debit,4861.8699999999999,72086.449999999997,JPY
ACC00085,Scott Guzman,Savings,Houston,Debit,2253.6399999999999,54334.889999999999,JPY
ACC00086,Shelly Smith,Savings,San Antonio,Debit,2751.27,34592.580000000002,JPY
ACC00087,Kevin Williams,Current,New York,Credit,1506.1300000000001,85560.529999999999,JPY
ACC00088,Brittney Collins,Current,New York,Credit,4398.3699999999999,66553.429999999993,EUR
ACC00089,Steven Grant,Fixed Deposit,San Antonio,Debit,2455.79,57810.540000000001,EUR
ACC00090,Alexandra Gutierrez,Savings,New York,Debit,292.86000000000001,8477.5900000000001,GBP
ACC00091,Robert Faulkner,Fixed Deposit,San Diego,Debit,4349.4700000000003,82704.910000000003,JPY
ACC00092,Crystal Burke,Fixed Deposit,Phoenix,Credit,1905.0899999999999,40293.480000000003,GBP
ACC00093,Travis Diaz,Current,Chicago,Credit,1873.9300000000001,54243.129999999997,GBP
ACC00094,Kevin Dawson,Recurring Deposit,New York,Debit,720.92999999999995,7602.2600000000002,JPY
ACC00095,Joseph Burton,Savings,San Antonio,Debit,2531.2399999999998,22733.84,EUR
ACC00096,Christina Greer,Recurring Deposit,Phoenix,Debit,1822.4200000000001,57032.589999999997,JPY
ACC00097,Kevin Barnett,Fixed Deposit,Houston,Debit,4236.1700000000001,34227.019999999997,INR
ACC00098,Margaret Vasquez,Current,San Diego,Debit,1438.73,75490.270000000004,USD
ACC00099,Jasmine Stephens,Fixed Deposit,New York,Credit,633.58000000000004,11541.32,GBP
ACC00100,Stacy Pacheco,Current,Philadelphia,Debit,2661.73,5805.7600000000002,EUR
ACC00101,Alicia Sanders,Savings,Los Angeles,Debit,527.86000000000001,65478.82,USD
ACC00102,Rachel Henry,Fixed Deposit,Houston,Credit,3011.5500000000002,64493,GBP
ACC00103,Lisa Gilbert,Current,Los Angeles,Debit,2335.6100000000001,18139.57,INR
ACC00104,Lisa Perez,Fixed Deposit,Philadelphia,Debit,816.25,64629.040000000001,JPY
ACC00105,Craig Schmidt,Current,San Diego,Credit,268.33999999999997,88451.490000000005,JPY
ACC00106,Madison Mathews,Recurring Deposit,Houston,Debit,3909.8699999999999,60738.519999999997,JPY
ACC00107,Stephen Mitchell,Current,San Diego,Debit,3040.3200000000002,81862.740000000005,GBP
ACC00108,Lauren Pace,Savings,Houston,Debit,3883.9499999999998,15243.42,JPY
ACC00109,Jill Schmidt,Current,Philadelphia,Debit,464.63999999999999,27536.16,USD
ACC00110,Robert Hammond,Current,New York,Credit,708.55999999999995,39278.849999999999,GBP
ACC00111,Mr. James Stephens,Savings,San Antonio,Debit,2892.3899999999999,72000.669999999998,GBP
ACC00112,Colleen Mullins,Recurring Deposit,San Antonio,Debit,3521.46,14370.6,INR
ACC00113,Beth Jimenez,Current,Chicago,Credit,2710.2399999999998,2803.1999999999998,GBP
ACC00114,Andre Berry,Savings,New York,Debit,1403.54,1181.77,GBP
ACC00115,William Diaz,Savings,San Antonio,Debit,353.82999999999998,69366.059999999998,GBP
ACC00116,Charles Scott,Current,Houston,Credit,969.45000000000005,42922.349999999999,JPY
ACC00117,Colleen Prince,Fixed Deposit,Los Angeles,Debit,82.709999999999994,45435.620000000003,JPY
ACC00118,Robert Holland DDS,Savings,Houston,Credit,4032.6599999999999,55210.309999999998,INR
ACC00119,Jennifer Mahoney,Current,Chicago,Debit,916,60043.730000000003,GBP
ACC00120,Amber Vasquez,Savings,Phoenix,Credit,1250.1900000000001,38811.199999999997,INR
ACC00121,Paul Skinner,Current,Los Angeles,Debit,4372.6999999999998,49593.540000000001,EUR
ACC00122,Kelsey White,Savings,San Diego,Credit,204.75999999999999,94999.800000000003,INR
ACC00123,Michelle Smith,Fixed Deposit,Chicago,Credit,1990.0899999999999,57477.82,EUR
ACC00124,Keith Roman,Savings,Los Angeles,Credit,2755.9499999999998,4791.0100000000002,GBP
ACC00125,Thomas Dunlap,Savings,Houston,Debit,3435.9099999999999,54789.440000000002,EUR
ACC00126,Wesley Little,Current,Houston,Credit,2623.7399999999998,28614.450000000001,GBP
ACC00127,Louis Garner,Fixed Deposit,Houston,Debit,4049.9400000000001,59388.019999999997,EUR
ACC00128,Angel Morris,Recurring Deposit,Philadelphia,Debit,771.36000000000001,77266.429999999993,USD
ACC00129,Elizabeth Carney,Recurring Deposit,San Diego,Debit,1916.72,71341.110000000001,USD
ACC00130,Cheryl Wong,Savings,Philadelphia,Debit,671.25,86450.539999999994,GBP
ACC00131,Haley Day,Recurring Deposit,Philadelphia,Debit,529.16999999999996,70506.029999999999,USD
ACC00132,Melissa Walton,Fixed Deposit,Los Angeles,Debit,1827.5699999999999,27825.150000000001,JPY
ACC00133,Brandon Holloway,Fixed Deposit,Los Angeles,Credit,3790.4400000000001,52812.220000000001,GBP
ACC00134,Michael Arnold,Savings,Houston,Debit,3369.5700000000002,3592.6100000000001,GBP
ACC00135,Patricia Cordova,Fixed Deposit,San Antonio,Debit,4241.6000000000004,25151.799999999999,USD
ACC00136,Barbara Pierce,Recurring Deposit,Houston,Debit,658.88,42526.330000000002,INR
ACC00137,James Raymond,Current,Phoenix,Debit,878.14999999999998,1808.02,JPY
ACC00138,Ann Walsh,Recurring Deposit,San Diego,Credit,1181.1099999999999,60952.190000000002,JPY
ACC00139,Tami Melendez,Recurring Deposit,Philadelphia,Credit,4659.9099999999999,14695.17,EUR
ACC00140,Gina Mcclure,Savings,San Antonio,Credit,2209.54,95252.639999999999,JPY
ACC00141,Russell Garner,Current,New York,Credit,4355.6599999999999,11038.48,JPY
ACC00142,Michael Gaines,Current,New York,Credit,4320.1800000000003,85507.610000000001,EUR
ACC00143,Elizabeth Hawkins,Current,San Antonio,Debit,3696.8000000000002,19856.630000000001,GBP
ACC00144,Michael Evans,Savings,Los Angeles,Debit,1166.6500000000001,50135.529999999999,JPY
ACC00145,Robin Walker,Recurring Deposit,San Diego,Credit,772.32000000000005,66049.059999999998,GBP
ACC00146,Monique Chandler,Current,Philadelphia,Credit,100.12,8192.5699999999997,INR
ACC00147,Michael Johnson,Recurring Deposit,San Diego,Credit,1873.98,19960.220000000001,INR
ACC00148,Tommy Scott,Fixed Deposit,Houston,Credit,1153.0599999999999,63421.459999999999,GBP
ACC00149,Felicia Henry,Savings,Philadelphia,Credit,4097,96323.229999999996,INR
ACC00150,Dana Green,Fixed Deposit,Houston,Credit,1851.1800000000001,15546.48,GBP
ACC00151,Annette Nolan,Savings,San Diego,Debit,4749.4399999999996,36733.959999999999,GBP
ACC00152,James Perez,Recurring Deposit,New York,Credit,3604,19069.790000000001,GBP
ACC00153,Karen Clarke,Fixed Deposit,San Diego,Credit,4178.5799999999999,79708.130000000005,USD
ACC00154,Daniel Rodriguez,Recurring Deposit,Los Angeles,Credit,2134.1700000000001,9261.5799999999999,JPY
ACC00155,Eric Tate,Current,Los Angeles,Debit,4901.9799999999996,99470.419999999998,JPY
ACC00156,Kendra Moore,Recurring Deposit,Chicago,Credit,802.30999999999995,39978.309999999998,USD
ACC00157,Travis Williams,Recurring Deposit,Chicago,Debit,4667.4399999999996,60105.540000000001,JPY
ACC00158,Steven Montgomery,Savings,San Diego,Credit,4864.8800000000001,29161.099999999999,GBP
ACC00159,Mark Parker,Savings,Los Angeles,Credit,256.06999999999999,51599.389999999999,INR
ACC00160,Jeanette Nelson,Recurring Deposit,Phoenix,Credit,4164.7200000000003,29944.09,EUR
ACC00161,Christopher Stewart,Current,New York,Debit,4372.5,1773.55,JPY
ACC00162,Brandy Mullins,Recurring Deposit,San Diego,Credit,1287.6099999999999,66413.020000000004,GBP
ACC00163,William Sutton,Fixed Deposit,San Antonio,Debit,3766.0999999999999,89726.369999999995,GBP
ACC00164,Michael Marsh,Current,Los Angeles,Credit,1483.79,67614.289999999994,USD
ACC00165,Wendy Wade,Recurring Deposit,Chicago,Credit,3197.1799999999998,64593.349999999999,GBP
ACC00166,Luis Jacobs,Recurring Deposit,San Antonio,Credit,3635.4400000000001,30762,EUR
ACC00167,Teresa Jones,Recurring Deposit,Chicago,Debit,3365.3099999999999,13215.91,EUR
ACC00168,Natasha Braun,Savings,Chicago,Credit,2274.9299999999998,92951.880000000005,INR
ACC00169,Brandy Boyd,Current,Houston,Credit,4975.6099999999997,25222.310000000001,JPY
ACC00170,Anna Keller,Recurring Deposit,San Diego,Debit,142.52000000000001,15221.540000000001,USD
ACC00171,Kaitlin Lamb,Savings,Houston,Credit,2196.5700000000002,48382.309999999998,JPY
ACC00172,Rebecca Edwards,Savings,San Antonio,Credit,120.43000000000001,7807.4200000000001,USD
ACC00173,Marie Mccall,Fixed Deposit,Houston,Debit,1280.9000000000001,8992.8600000000006,USD
ACC00174,Anna Grimes,Savings,San Diego,Debit,3810.46,30465.709999999999,JPY
ACC00175,Joseph Flowers,Savings,Chicago,Debit,1951.53,52814.050000000003,JPY
ACC00176,Richard Lynn,Recurring Deposit,Los Angeles,Credit,2312.1399999999999,58832.559999999998,GBP
ACC00177,Jesus Smith,Recurring Deposit,Philadelphia,Debit,4157.5799999999999,18474.599999999999,GBP
ACC00178,Tamara Carlson,Recurring Deposit,San Antonio,Debit,4885.5600000000004,4914.2399999999998,JPY
ACC00179,Steven James,Current,Houston,Credit,2915.9699999999998,9694.0599999999995,GBP
ACC00180,Craig Baker,Fixed Deposit,San Diego,Debit,2862.8699999999999,60021.870000000003,EUR
ACC00181,Mark Bridges,Savings,Los Angeles,Debit,326.50999999999999,79270.029999999999,GBP
ACC00182,Richard Simmons,Recurring Deposit,Chicago,Credit,1351.29,35576.529999999999,USD
ACC00183,Kathleen Herrera,Savings,Houston,Credit,4526.5900000000001,78821.220000000001,INR
ACC00184,Chelsea Escobar,Fixed Deposit,New York,Credit,2747.1700000000001,41946.550000000003,JPY
ACC00185,Lori Morales,Recurring Deposit,Phoenix,Credit,1639.1500000000001,73330.089999999997,USD
ACC00186,Stephen Melendez,Current,Philadelphia,Credit,780.23000000000002,15174.4,EUR
ACC00187,Erika Sanford,Savings,Los Angeles,Credit,3310.4400000000001,84290.220000000001,GBP
ACC00188,Melissa Davis,Current,Houston,Credit,4694.5799999999999,5219.29,INR
ACC00189,Roy Mclean,Fixed Deposit,Los Angeles,Debit,495.13999999999999,89197.25,GBP
ACC00190,Brandon Wilkinson,Fixed Deposit,New York,Debit,1917.9100000000001,615.51999999999998,USD
ACC00191,Julie Rodriguez,Fixed Deposit,San Antonio,Credit,2837.7600000000002,84772.880000000005,EUR
ACC00192,Dr. Alison Byrd,Current,Los Angeles,Credit,726.35000000000002,16072.370000000001,EUR
ACC00193,Rebecca Buck,Savings,New York,Credit,4712.8900000000003,51471.040000000001,EUR
ACC00194,Robert Ortiz,Recurring Deposit,Philadelphia,Credit,3341.7199999999998,80436.759999999995,USD
ACC00195,Dr. Martin Harris DDS,Current,New York,Debit,779.99000000000001,99920.600000000006,INR
ACC00196,Jennifer Tran,Recurring Deposit,Chicago,Credit,2591.5100000000002,96479.089999999997,JPY
ACC00197,Kristi Mcintosh,Savings,San Antonio,Credit,3758.6599999999999,94916.149999999994,INR
ACC00198,Natasha Rogers,Recurring Deposit,Philadelphia,Credit,2742.1599999999999,23187.02,EUR
ACC00199,Jocelyn Hunter,Recurring Deposit,Los Angeles,Credit,3827.6999999999998,59192.07,GBP
ACC00200,Casey Small,Recurring Deposit,New York,Debit,4350.8100000000004,17434.950000000001,INR
ACC00201,Amy Johns,Fixed Deposit,Houston,Debit,3166.8099999999999,68358.960000000006,JPY
ACC00202,Austin Thomas,Fixed Deposit,Phoenix,Debit,4164,2829.77,USD
ACC00203,Mrs. Alicia Cox,Fixed Deposit,San Diego,Credit,4254.1899999999996,89923.050000000003,INR
ACC00204,Heather Thornton,Savings,San Diego,Debit,3205.5799999999999,1904.3499999999999,INR
ACC00205,Shane Romero,Savings,New York,Debit,750.20000000000005,77032.649999999994,GBP
ACC00206,Matthew Davidson,Savings,Los Angeles,Debit,3413.8000000000002,58402.209999999999,GBP
ACC00207,John Fox,Savings,San Antonio,Credit,525.88,44143.5,JPY
ACC00208,Amy Munoz,Current,Houston,Credit,1586.45,18977.34,EUR
ACC00209,Daniel Jackson,Fixed Deposit,Phoenix,Debit,2802.3899999999999,60201.449999999997,USD
ACC00210,Michaela Bell,Savings,San Diego,Credit,389.60000000000002,10930.33,JPY
ACC00211,Jonathan Ramirez,Current,New York,Debit,378.23000000000002,66262.600000000006,USD
ACC00212,John Bennett,Current,San Antonio,Credit,1371.0599999999999,40798.150000000001,JPY
ACC00213,Sharon Yates,Savings,San Antonio,Debit,3470.7199999999998,38688.309999999998,USD
ACC00214,Kurt Hall,Recurring Deposit,Chicago,Credit,2458.5700000000002,59547.470000000001,INR
ACC00215,Jared Thompson,Fixed Deposit,Chicago,Credit,4314.7299999999996,80119.839999999997,GBP
ACC00216,Mary Parsons,Fixed Deposit,Philadelphia,Credit,2040.8800000000001,36136.25,USD
ACC00217,Austin Pennington,Fixed Deposit,Los Angeles,Debit,3373.5300000000002,5037.0299999999997,EUR
ACC00218,Colin Smith Jr.,Recurring Deposit,San Antonio,Debit,670.00999999999999,614.12,EUR
ACC00219,Stephanie Dickerson,Fixed Deposit,Los Angeles,Credit,4577.8000000000002,19772.439999999999,GBP
ACC00220,Lisa Morgan,Savings,Los Angeles,Debit,2128.6300000000001,65401.75,GBP
ACC00221,Michael Myers,Current,New York,Debit,276.24000000000001,82385.800000000003,GBP
ACC00222,Thomas Owen,Current,Phoenix,Debit,909.95000000000005,68593.580000000002,EUR
ACC00223,Susan White,Current,Phoenix,Debit,4003.6799999999998,73863.309999999998,JPY
ACC00224,Haley Norman,Current,Houston,Credit,3440.0900000000001,40291.970000000001,EUR
ACC00225,Jerry Skinner,Fixed Deposit,Los Angeles,Debit,257.73000000000002,76334.669999999998,GBP
ACC00226,Brian Ryan,Fixed Deposit,Houston,Debit,1718.6099999999999,52174.690000000002,EUR
ACC00227,Erin Estes,Recurring Deposit,San Diego,Credit,2166.1999999999998,17285.669999999998,USD
ACC00228,Roger Mcbride,Current,Houston,Debit,4756.5100000000002,67549.419999999998,JPY
ACC00229,Steven Stewart,Savings,Houston,Credit,4910.8599999999997,43994.239999999998,EUR
ACC00230,Bryce Grimes,Savings,Los Angeles,Debit,1346.27,59189.389999999999,JPY
ACC00231,Nicholas Sloan,Fixed Deposit,San Antonio,Debit,277.66000000000003,93988.740000000005,USD
ACC00232,Dr. Michael West,Savings,Los Angeles,Credit,4374.4799999999996,58148.599999999999,JPY
ACC00233,Michael Torres,Savings,Los Angeles,Credit,1213.51,33251.349999999999,EUR
ACC00234,Christopher Edwards,Savings,Philadelphia,Debit,3652.1599999999999,32559.639999999999,USD
ACC00235,Laura Lawson,Current,Houston,Debit,2023.45,13610.23,GBP
ACC00236,Jacob Carter,Recurring Deposit,San Diego,Debit,4959.9200000000001,52957.309999999998,JPY
ACC00237,Andrea Smith,Savings,San Antonio,Credit,4194.7299999999996,63900.540000000001,INR
ACC00238,John Phillips DDS,Current,San Antonio,Debit,2588.8000000000002,24949.77,GBP
ACC00239,Robert Davis,Fixed Deposit,Houston,Debit,3814.8499999999999,15017.67,JPY
ACC00240,Jeffrey Gallegos,Current,San Antonio,Credit,1229.95,36758.980000000003,GBP
ACC00241,Clifford Hicks,Fixed Deposit,San Diego,Debit,1576.52,87714.899999999994,INR
ACC00242,Alexis Smith,Current,Houston,Credit,4189.3500000000004,15949.469999999999,EUR
ACC00243,Monique Stone,Savings,Los Angeles,Credit,4620.0900000000001,56152.019999999997,JPY
ACC00244,Brian Collins,Current,San Diego,Credit,1491.6600000000001,37182.129999999997,JPY
ACC00245,Valerie Clayton,Current,Phoenix,Credit,3948.0799999999999,92813.690000000002,EUR
ACC00246,Martha Miller,Recurring Deposit,New York,Credit,4973.0200000000004,74435.080000000002,USD
ACC00247,Michael Ray,Current,Phoenix,Credit,1789.6400000000001,83648.850000000006,JPY
ACC00248,Kevin Donaldson,Current,San Antonio,Credit,3405,30168.91,GBP
ACC00249,Mark Medina,Savings,Houston,Credit,3775.9400000000001,32454.439999999999,JPY
ACC00250,Elizabeth Stevens,Fixed Deposit,Phoenix,Credit,3051.4899999999998,25374.32,JPY
ACC00251,Mario Barnett,Savings,Chicago,Credit,4028.4499999999998,95059.309999999998,GBP
ACC00252,Joanna Walker,Current,Los Angeles,Debit,603.49000000000001,25740.07,USD
ACC00253,Jason Rowe,Fixed Deposit,Houston,Credit,2676.9099999999999,70482.729999999996,USD
ACC00254,Maria Gonzalez,Fixed Deposit,Chicago,Credit,1336.54,67898.570000000007,GBP
ACC00255,Charles Long,Recurring Deposit,San Diego,Debit,4692.6099999999997,56970.139999999999,USD
ACC00256,Becky Davis,Recurring Deposit,Phoenix,Debit,2618.4099999999999,66838.330000000002,EUR
ACC00257,Harold Bell,Current,Chicago,Credit,2654.0999999999999,99388.429999999993,EUR
ACC00258,Kyle Morales,Current,Los Angeles,Credit,4296.3800000000001,73078.350000000006,JPY
ACC00259,Philip Lyons,Savings,Chicago,Debit,4491.9899999999998,51838.949999999997,EUR
ACC00260,James Morris,Recurring Deposit,Los Angeles,Credit,290.74000000000001,60471.769999999997,JPY
ACC00261,Dave Romero,Recurring Deposit,Phoenix,Debit,671.71000000000004,93490.649999999994,JPY
ACC00262,Thomas Riddle,Savings,Phoenix,Credit,3899.6999999999998,32904.290000000001,JPY
ACC00263,Adam Brooks,Current,Los Angeles,Credit,1451.03,1409.48,INR
ACC00264,Emily Miles,Current,San Diego,Credit,291.44,80151.800000000003,JPY
ACC00265,Alicia Wagner,Current,Houston,Credit,4220.8299999999999,76755.970000000001,USD
ACC00266,Amanda Brooks,Fixed Deposit,Philadelphia,Credit,4347.7299999999996,48224.660000000003,GBP
ACC00267,Douglas Mayo,Current,San Diego,Debit,2632.4400000000001,4727.9300000000003,USD
ACC00268,Stephen Stewart,Fixed Deposit,San Antonio,Credit,90.599999999999994,49471.239999999998,USD
ACC00269,Ashley Day,Savings,New York,Credit,1753.72,89036.509999999995,JPY
ACC00270,Joseph Garrett,Fixed Deposit,San Diego,Debit,1115.5,76259.809999999998,INR
ACC00271,Catherine Jordan,Current,Chicago,Credit,3801.04,11122.43,INR
ACC00272,Rebecca Grant,Savings,Los Angeles,Debit,3850.1100000000001,27489.59,USD
ACC00273,Christopher Lee,Savings,New York,Credit,2518.27,47868.480000000003,USD
ACC00274,George Parker,Fixed Deposit,Phoenix,Credit,2612.73,99118.460000000006,INR
ACC00275,Jennifer Simmons,Current,New York,Debit,3348.8099999999999,7551.1999999999998,USD
ACC00276,Jeffery Hernandez,Recurring Deposit,San Antonio,Debit,4147.4099999999999,69975.169999999998,EUR
ACC00277,Susan Spencer,Savings,Chicago,Credit,3792.25,71190.449999999997,GBP
ACC00278,Brian Pennington,Recurring Deposit,Los Angeles,Debit,1135.9200000000001,18561.040000000001,GBP
ACC00279,Michelle Higgins,Savings,San Antonio,Debit,1052.28,98954.649999999994,INR
ACC00280,Lindsey Santos,Savings,Philadelphia,Credit,933.42999999999995,41920.480000000003,INR
ACC00281,Glenda Gross,Fixed Deposit,New York,Debit,1512.0599999999999,4968.1999999999998,EUR
ACC00282,Brandon Hart,Savings,San Antonio,Debit,1627.3099999999999,88039.660000000003,EUR
ACC00283,Joshua Cochran,Recurring Deposit,Houston,Debit,1081.21,35023.989999999998,INR
ACC00284,William Chase,Recurring Deposit,New York,Debit,2201.5799999999999,65927.419999999998,EUR
ACC00285,Alyssa Ritter,Current,Phoenix,Debit,1581.76,61588.849999999999,EUR
