account_id,customer_name,account_type,branch,transaction_type,transaction_amount,account_balance,currency,transaction_date,year,month,month_name,day,weekday,transaction_direction,transaction_category,net_amount
ACC00041,Michael Bates,Recurring Deposit,Los Angeles,Credit,9392.79,73403.15,INR,2022-01-10,2022,1,January,10,Monday,Inflow,Shopping,9392.79
ACC00042,Sarah Nixon,Current,Phoenix,Debit,5290.37,21902.07,USD,2024-06-10,2024,6,June,10,Monday,Outflow,Shopping,-5290.37
ACC00043,Clayton Ibarra,Savings,Phoenix,Credit,4607.15,48114.64,USD,2024-11-16,2024,11,November,16,Saturday,Inflow,Salary,3543.96
ACC00044,Shelby Brown,Fixed Deposit,Phoenix,Debit,4232.53,796.81,INR,2023-08-14,2023,8,August,14,Monday,Outflow,Bills,-4232.53
ACC00045,Jessica Day,Recurring Deposit,Phoenix,Credit,2755.9,42236.84,USD,2022-02-01,2022,2,February,1,Tuesday,Inflow,Food,1377.95
ACC00046,William Morrow,Current,Phoenix,Debit,5570.42,79001.83,JPY,2022-02-15,2022,2,February,15,Tuesday,Outflow,Food,-5570.42
ACC00047,Alice Diaz,Fixed Deposit,San Diego,Credit,1464.13,32235.25,USD,2023-07-26,2023,7,July,26,Wednesday,Inflow,Transfer,1464.13
ACC00048,Kenneth Stevens,Current,Los Angeles,Debit,2193.76,18562.59,EUR,2024-12-27,2024,12,December,27,Friday,Outflow,Salary,-2193.76
ACC00049,Lisa Chen,Savings,Philadelphia,Debit,3148.73,50649.93,INR,2022-01-17,2022,1,January,17,Monday,Outflow,Food,-3148.73
ACC00050,John Vega,Fixed Deposit,Phoenix,Credit,21955.88,2109.83,GBP,2022-07-04,2022,7,July,4,Monday,Inflow,Salary,10977.94
ACC00051,Robert Sherman,Fixed Deposit,Phoenix,Debit,3986.88,68715.56,GBP,2024-02-26,2024,2,February,26,Monday,Outflow,Bills,-3986.88
ACC00052,Michael Barrett,Fixed Deposit,San Diego,Debit,1599.63,17227.18,INR,2023-08-17,2023,8,August,17,Thursday,Outflow,Shopping,-1599.63
ACC00053,Shelly Carter,Current,Phoenix,Debit,5517.37,48218.88,INR,2024-12-14,2024,12,December,14,Saturday,Outflow,Food,-4244.13
ACC00054,Cynthia Watkins,Recurring Deposit,Phoenix,Debit,5068.29,77919.1,GBP,2023-05-04,2023,5,May,4,Thursday,Outflow,Salary,-5068.29
ACC00055,Kenneth Rogers,Fixed Deposit,Phoenix,Debit,7531.83,34015.59,GBP,2022-01-04,2022,1,January,4,Tuesday,Outflow,Food,-7531.83
ACC00056,Chad Wilson,Recurring Deposit,Houston,Debit,3271.02,3690.84,GBP,2024-11-08,2024,11,November,8,Friday,Outflow,Bills,-3271.02
ACC00057,Scott Clark,Savings,Philadelphia,Credit,1820.06,62999.01,INR,2024-07-15,2024,7,July,15,Monday,Inflow,Food,1820.06
ACC00058,Mackenzie Black,Fixed Deposit,Phoenix,Credit,12914.0,43875.17,GBP,2022-05-11,2022,5,May,11,Wednesday,Inflow,Salary,12914.0
ACC00059,William Munoz,Recurring Deposit,Phoenix,Credit,5526.2,23910.78,GBP,2023-05-13,2023,5,May,13,Saturday,Inflow,Food,4250.92
ACC00060,Natasha Hurst,Savings,Phoenix,Credit,3217.18,75769.2,JPY,2023-08-02,2023,8,August,2,Wednesday,Inflow,Food,1608.59
ACC00061,Tamara Cruz,Current,Phoenix,Debit,3248.79,57726.31,JPY,2022-06-30,2022,6,June,30,Thursday,Outflow,Food,-3248.79
ACC00062,Denise Williamson,Fixed Deposit,San Diego,Credit,2194.69,7176.95,USD,2023-10-10,2023,10,October,10,Tuesday,Inflow,Food,2194.69
ACC00063,Michael Reed,Fixed Deposit,San Diego,Debit,7841.08,47326.29,EUR,2023-01-11,2023,1,January,11,Wednesday,Outflow,Shopping,-7841.08
ACC00064,Stefanie Wilson,Savings,Phoenix,Debit,6544.14,393.01,GBP,2023-10-07,2023,10,October,7,Saturday,Outflow,Food,-5033.95
ACC00065,Daniel Ramirez,Fixed Deposit,Philadelphia,Credit,2589.08,41720.66,EUR,2024-12-23,2024,12,December,23,Monday,Inflow,Transfer,2589.08
ACC00066,Amanda Mckenzie,Current,Phoenix,Debit,6766.55,90044.47,USD,2023-04-24,2023,4,April,24,Monday,Outflow,Bills,-6766.55
ACC00067,Sarah Johnson,Savings,Phoenix,Credit,3048.63,72696.16,GBP,2023-06-23,2023,6,June,23,Friday,Inflow,Bills,3048.63
ACC00068,Daniel Ramos,Fixed Deposit,Los Angeles,Debit,3191.19,63754.65,EUR,2024-04-29,2024,4,April,29,Monday,Outflow,Food,-3191.19
ACC00069,Maria Wright,Recurring Deposit,Los Angeles,Credit,1776.46,74679.01,EUR,2023-04-17,2023,4,April,17,Monday,Inflow,Shopping,1776.46
ACC00070,Holly Trujillo MD,Fixed Deposit,Phoenix,Debit,1764.09,18542.64,GBP,2024-03-04,2024,3,March,4,Monday,Outflow,Food,-1764.09
ACC00071,Michael Martinez,Savings,Phoenix,Debit,12356.26,46234.57,JPY,2023-05-02,2023,5,May,2,Tuesday,Outflow,Salary,-12356.26
ACC00072,Austin Bird,Savings,Phoenix,Credit,6549.23,26729.26,JPY,2024-03-19,2024,3,March,19,Tuesday,Inflow,Shopping,6549.23
ACC00073,Sheila Hogan,Recurring Deposit,Los Angeles,Credit,502.31,71837.22,EUR,2024-10-16,2024,10,October,16,Wednesday,Inflow,Salary,502.31
ACC00074,Barbara White,Fixed Deposit,Philadelphia,Debit,1431.9,7499.09,JPY,2023-10-16,2023,10,October,16,Monday,Outflow,Shopping,-1431.9
ACC00075,Kevin Davis,Current,Phoenix,Debit,1168.76,49465.99,EUR,2022-02-17,2022,2,February,17,Thursday,Outflow,Transfer,-1168.76
ACC00076,Jessica Ponce,Recurring Deposit,San Diego,Debit,3490.41,31823.94,GBP,2022-12-13,2022,12,December,13,Tuesday,Outflow,Food,-3490.41
ACC00077,Michelle Wilson,Current,Phoenix,Debit,2372.7,57360.65,USD,2024-11-22,2024,11,November,22,Friday,Outflow,Food,-2372.7
ACC00078,Kenneth Brown,Recurring Deposit,Chicago,Credit,8909.67,67980.1,EUR,2022-12-29,2022,12,December,29,Thursday,Inflow,Bills,8909.67
ACC00079,Sherri Brown,Fixed Deposit,Phoenix,Debit,2559.14,52708.8,EUR,2024-11-13,2024,11,November,13,Wednesday,Outflow,Transfer,-2559.14
ACC00080,Jessica Young,Savings,Chicago,Credit,14997.33,82039.35,EUR,2022-02-19,2022,2,February,19,Saturday,Inflow,Bills,11536.41
ACC00081,Xavier Landry,Current,Phoenix,Debit,3121.65,62071.52,GBP,2023-11-13,2023,11,November,13,Monday,Outflow,Food,-3121.65
ACC00082,Leslie Hernandez,Current,Phoenix,Debit,17156.69,74837.43,USD,2022-08-07,2022,8,August,7,Sunday,Outflow,Shopping,-13197.45
ACC00083,Jonathan Thompson,Recurring Deposit,Los Angeles,Credit,2837.72,13249.1,USD,2023-01-16,2023,1,January,16,Monday,Inflow,Transfer,2837.72
ACC00084,Ann Carroll,Current,Houston,Credit,3746.9,72086.45,JPY,2023-10-15,2023,10,October,15,Sunday,Inflow,Food,2882.23
ACC00085,Scott Guzman,Savings,Phoenix,Credit,6449.81,54334.89,JPY,2024-07-15,2024,7,July,15,Monday,Inflow,Food,6449.81
ACC00086,Shelly Smith,Savings,Los Angeles,Credit,5814.0,34592.58,JPY,2024-12-18,2024,12,December,18,Wednesday,Inflow,Salary,5814.0
ACC00087,Kevin Williams,Current,Phoenix,Debit,1280.77,85560.53,JPY,2023-03-18,2023,3,March,18,Saturday,Outflow,Transfer,-985.21
ACC00088,Brittney Collins,Current,Houston,Debit,3554.61,66553.43,EUR,2023-08-17,2023,8,August,17,Thursday,Outflow,Bills,-3554.61
ACC00089,Steven Grant,Fixed Deposit,Philadelphia,Debit,2354.68,57810.54,EUR,2022-09-07,2022,9,September,7,Wednesday,Outflow,Transfer,-2354.68
ACC00090,Alexandra Gutierrez,Savings,Phoenix,Debit,2223.14,8477.59,GBP,2023-08-10,2023,8,August,10,Thursday,Outflow,Food,-2223.14
ACC00091,Robert Faulkner,Fixed Deposit,Phoenix,Credit,4604.12,82704.91,JPY,2024-07-06,2024,7,July,6,Saturday,Inflow,Shopping,3541.63
ACC00092,Crystal Burke,Fixed Deposit,Phoenix,Debit,3436.29,40293.48,GBP,2024-10-05,2024,10,October,5,Saturday,Outflow,Bills,-2643.3
ACC00093,Travis Diaz,Current,Chicago,Debit,4977.12,54243.13,GBP,2024-11-03,2024,11,November,3,Sunday,Outflow,Bills,-3828.55
ACC00094,Kevin Dawson,Recurring Deposit,Chicago,Debit,1372.71,7602.26,JPY,2023-12-28,2023,12,December,28,Thursday,Outflow,Salary,-1372.71
ACC00095,Joseph Burton,Savings,Chicago,Debit,763.75,22733.84,EUR,2024-08-19,2024,8,August,19,Monday,Outflow,Transfer,-763.75
ACC00096,Christina Greer,Recurring Deposit,Chicago,Debit,6621.78,57032.59,JPY,2023-03-10,2023,3,March,10,Friday,Outflow,Shopping,-6621.78
ACC00097,Kevin Barnett,Fixed Deposit,Phoenix,Debit,9534.62,34227.02,INR,2023-04-22,2023,4,April,22,Saturday,Outflow,Food,-7334.32
ACC00098,Margaret Vasquez,Current,Houston,Debit,8242.23,75490.27,USD,2024-01-07,2024,1,January,7,Sunday,Outflow,Shopping,-6340.18
ACC00099,Jasmine Stephens,Fixed Deposit,Los Angeles,Credit,4449.6,11541.32,GBP,2022-08-28,2022,8,August,28,Sunday,Inflow,Bills,3422.77
ACC00100,Stacy Pacheco,Current,Phoenix,Credit,6453.82,5805.76,EUR,2023-02-05,2023,2,February,5,Sunday,Inflow,Food,2482.24
ACC00101,Alicia Sanders,Savings,New York,Credit,1978.07,65478.82,USD,2023-06-13,2023,6,June,13,Tuesday,Inflow,Salary,1978.07
ACC00102,Rachel Henry,Fixed Deposit,Phoenix,Debit,1673.35,64493.0,GBP,2024-10-29,2024,10,October,29,Tuesday,Outflow,Food,-1673.35
ACC00103,Lisa Gilbert,Current,Phoenix,Credit,3124.34,18139.57,INR,2023-01-19,2023,1,January,19,Thursday,Inflow,Food,3124.34
ACC00104,Lisa Perez,Fixed Deposit,Houston,Debit,7211.75,64629.04,JPY,2024-05-16,2024,5,May,16,Thursday,Outflow,Shopping,-7211.75
ACC00105,Craig Schmidt,Current,Phoenix,Debit,2388.75,88451.49,JPY,2024-05-12,2024,5,May,12,Sunday,Outflow,Bills,-1837.5
ACC00106,Madison Mathews,Recurring Deposit,Phoenix,Credit,9386.27,60738.52,JPY,2022-09-25,2022,9,September,25,Sunday,Inflow,Shopping,7220.21
ACC00107,Stephen Mitchell,Current,Phoenix,Debit,807.37,81862.74,GBP,2024-09-16,2024,9,September,16,Monday,Outflow,Bills,-807.37
ACC00108,Lauren Pace,Savings,Phoenix,Debit,3978.06,15243.42,JPY,2024-04-25,2024,4,April,25,Thursday,Outflow,Shopping,-3978.06
ACC00109,Jill Schmidt,Current,Phoenix,Credit,5985.85,27536.16,USD,2022-09-17,2022,9,September,17,Saturday,Inflow,Food,4604.5
ACC00110,Robert Hammond,Current,Los Angeles,Credit,2809.33,39278.85,GBP,2024-06-22,2024,6,June,22,Saturday,Inflow,Food,2161.02
ACC00111,Mr. James Stephens,Savings,Chicago,Credit,1677.29,72000.67,GBP,2023-08-06,2023,8,August,6,Sunday,Inflow,Bills,1290.22
ACC00112,Colleen Mullins,Recurring Deposit,Chicago,Credit,6030.04,14370.6,INR,2023-06-13,2023,6,June,13,Tuesday,Inflow,Shopping,6030.04
ACC00113,Beth Jimenez,Current,Phoenix,Debit,4475.48,2803.2,GBP,2024-07-06,2024,7,July,6,Saturday,Outflow,Transfer,-3442.68
ACC00114,Andre Berry,Savings,Phoenix,Debit,15827.61,1181.77,GBP,2023-06-05,2023,6,June,5,Monday,Outflow,Shopping,-15827.61
ACC00115,William Diaz,Savings,Houston,Debit,7286.77,69366.06,GBP,2024-12-19,2024,12,December,19,Thursday,Outflow,Shopping,-7286.77
ACC00116,Charles Scott,Current,New York,Debit,7326.3,42922.35,JPY,2022-10-03,2022,10,October,3,Monday,Outflow,Shopping,-7326.3
ACC00117,Colleen Prince,Fixed Deposit,Phoenix,Debit,184.84,45435.62,JPY,2022-05-03,2022,5,May,3,Tuesday,Outflow,Food,-184.84
ACC00118,Robert Holland DDS,Savings,Los Angeles,Credit,1869.6,55210.31,INR,2023-04-12,2023,4,April,12,Wednesday,Inflow,Bills,1869.6
ACC00119,Jennifer Mahoney,Current,Chicago,Debit,1149.01,60043.73,GBP,2024-08-20,2024,8,August,20,Tuesday,Outflow,Bills,-1149.01
ACC00120,Amber Vasquez,Savings,San Diego,Debit,388.69,38811.2,INR,2022-02-01,2022,2,February,1,Tuesday,Outflow,Salary,-388.69
ACC00121,Paul Skinner,Current,Chicago,Debit,3235.36,49593.54,EUR,2022-06-23,2022,6,June,23,Thursday,Outflow,Food,-3235.36
ACC00122,Kelsey White,Savings,Phoenix,Debit,5925.79,94999.8,INR,2024-04-11,2024,4,April,11,Thursday,Outflow,Food,-5925.79
ACC00123,Michelle Smith,Fixed Deposit,Phoenix,Credit,1413.31,57477.82,EUR,2022-06-10,2022,6,June,10,Friday,Inflow,Food,1413.31
ACC00124,Keith Roman,Savings,Chicago,Credit,419.53,4791.01,GBP,2024-03-25,2024,3,March,25,Monday,Inflow,Food,419.53
ACC00125,Thomas Dunlap,Savings,Phoenix,Credit,1524.73,54789.44,EUR,2022-11-21,2022,11,November,21,Monday,Inflow,Shopping,1524.73
ACC00126,Wesley Little,Current,Chicago,Debit,3818.93,28614.45,GBP,2023-09-30,2023,9,September,30,Saturday,Outflow,Transfer,-2937.64
ACC00127,Louis Garner,Fixed Deposit,Phoenix,Debit,2768.85,59388.02,EUR,2022-10-12,2022,10,October,12,Wednesday,Outflow,Bills,-2768.85
ACC00128,Angel Morris,Recurring Deposit,San Diego,Debit,3360.64,77266.43,USD,2022-07-06,2022,7,July,6,Wednesday,Outflow,Salary,-3360.64
ACC00129,Elizabeth Carney,Recurring Deposit,Phoenix,Credit,5896.16,71341.11,USD,2022-03-26,2022,3,March,26,Saturday,Inflow,Shopping,4535.51
ACC00130,Cheryl Wong,Savings,Chicago,Debit,3297.38,86450.54,GBP,2024-01-08,2024,1,January,8,Monday,Outflow,Food,-3297.38
ACC00131,Haley Day,Recurring Deposit,San Diego,Debit,6157.02,70506.03,USD,2023-11-20,2023,11,November,20,Monday,Outflow,Food,-6157.02
ACC00132,Melissa Walton,Fixed Deposit,Phoenix,Credit,1869.5,27825.15,JPY,2022-08-27,2022,8,August,27,Saturday,Inflow,Food,1438.08
ACC00133,Brandon Holloway,Fixed Deposit,San Diego,Credit,2676.95,52812.22,GBP,2024-12-06,2024,12,December,6,Friday,Inflow,Bills,2676.95
ACC00134,Michael Arnold,Savings,Phoenix,Credit,10167.02,3592.61,GBP,2023-12-05,2023,12,December,5,Tuesday,Inflow,Shopping,5083.51
ACC00135,Patricia Cordova,Fixed Deposit,Philadelphia,Debit,4113.36,25151.8,USD,2022-06-23,2022,6,June,23,Thursday,Outflow,Transfer,-4113.36
ACC00136,Barbara Pierce,Recurring Deposit,New York,Credit,10656.96,42526.33,INR,2024-08-12,2024,8,August,12,Monday,Inflow,Transfer,10656.96
ACC00137,James Raymond,Current,Phoenix,Debit,1494.82,1808.02,JPY,2023-11-03,2023,11,November,3,Friday,Outflow,Shopping,-1494.82
ACC00138,Ann Walsh,Recurring Deposit,Phoenix,Debit,5149.08,60952.19,JPY,2024-05-15,2024,5,May,15,Wednesday,Outflow,Bills,-5149.08
ACC00139,Tami Melendez,Recurring Deposit,Los Angeles,Debit,1956.85,14695.17,EUR,2023-12-26,2023,12,December,26,Tuesday,Outflow,Bills,-1956.85
ACC00140,Gina Mcclure,Savings,Houston,Debit,1774.36,95252.64,JPY,2022-04-01,2022,4,April,1,Friday,Outflow,Food,-1774.36
ACC00141,Russell Garner,Current,Phoenix,Debit,6990.78,11038.48,JPY,2023-11-08,2023,11,November,8,Wednesday,Outflow,Transfer,-6990.78
ACC00142,Michael Gaines,Current,Los Angeles,Credit,3268.72,85507.61,EUR,2022-06-29,2022,6,June,29,Wednesday,Inflow,Food,3268.72
ACC00143,Elizabeth Hawkins,Current,Phoenix,Debit,4061.78,19856.63,GBP,2023-03-03,2023,3,March,3,Friday,Outflow,Bills,-4061.78
ACC00144,Michael Evans,Savings,Phoenix,Credit,2088.68,50135.53,JPY,2022-04-19,2022,4,April,19,Tuesday,Inflow,Shopping,2088.68
ACC00145,Robin Walker,Recurring Deposit,Phoenix,Credit,2193.18,66049.06,GBP,2023-06-30,2023,6,June,30,Friday,Inflow,Shopping,2193.18
ACC00146,Monique Chandler,Current,Phoenix,Credit,1943.71,8192.57,INR,2023-12-02,2023,12,December,2,Saturday,Inflow,Shopping,747.58
ACC00147,Michael Johnson,Recurring Deposit,Phoenix,Debit,3825.96,19960.22,INR,2022-11-23,2022,11,November,23,Wednesday,Outflow,Transfer,-3825.96
ACC00148,Tommy Scott,Fixed Deposit,Chicago,Debit,1310.18,63421.46,GBP,2023-11-16,2023,11,November,16,Thursday,Outflow,Food,-1310.18
ACC00149,Felicia Henry,Savings,Chicago,Credit,3874.87,96323.23,INR,2023-11-12,2023,11,November,12,Sunday,Inflow,Food,2980.67
ACC00150,Dana Green,Fixed Deposit,Phoenix,Credit,12304.8,15546.48,GBP,2023-08-01,2023,8,August,1,Tuesday,Inflow,Shopping,6152.4
ACC00151,Annette Nolan,Savings,Chicago,Debit,535.07,36733.96,GBP,2022-09-28,2022,9,September,28,Wednesday,Outflow,Food,-535.07
ACC00152,James Perez,Recurring Deposit,Los Angeles,Credit,24141.13,19069.79,GBP,2023-09-30,2023,9,September,30,Saturday,Inflow,Bills,18570.1
ACC00153,Karen Clarke,Fixed Deposit,Phoenix,Credit,1742.26,79708.13,USD,2023-05-19,2023,5,May,19,Friday,Inflow,Salary,1742.26
ACC00154,Daniel Rodriguez,Recurring Deposit,Phoenix,Debit,3048.56,9261.58,JPY,2022-09-29,2022,9,September,29,Thursday,Outflow,Transfer,-3048.56
ACC00155,Eric Tate,Current,Phoenix,Debit,4058.09,99470.42,JPY,2022-09-16,2022,9,September,16,Friday,Outflow,Bills,-4058.09
ACC00156,Kendra Moore,Recurring Deposit,Phoenix,Credit,1690.91,39978.31,USD,2024-07-11,2024,7,July,11,Thursday,Inflow,Transfer,1690.91
ACC00157,Travis Williams,Recurring Deposit,Los Angeles,Debit,2259.6,60105.54,JPY,2022-08-26,2022,8,August,26,Friday,Outflow,Bills,-2259.6
ACC00158,Steven Montgomery,Savings,Phoenix,Debit,9291.28,29161.1,GBP,2023-02-11,2023,2,February,11,Saturday,Outflow,Transfer,-7147.14
ACC00159,Mark Parker,Savings,Phoenix,Credit,5694.94,51599.39,INR,2022-10-31,2022,10,October,31,Monday,Inflow,Food,5694.94
ACC00160,Jeanette Nelson,Recurring Deposit,Phoenix,Debit,3539.48,29944.09,EUR,2022-10-30,2022,10,October,30,Sunday,Outflow,Shopping,-2722.68
ACC00161,Christopher Stewart,Current,Houston,Debit,3328.61,1773.55,JPY,2024-07-15,2024,7,July,15,Monday,Outflow,Transfer,-3328.61
ACC00162,Brandy Mullins,Recurring Deposit,Phoenix,Debit,3707.99,66413.02,GBP,2022-06-13,2022,6,June,13,Monday,Outflow,Bills,-3707.99
ACC00163,William Sutton,Fixed Deposit,Phoenix,Debit,4989.63,89726.37,GBP,2024-07-08,2024,7,July,8,Monday,Outflow,Transfer,-4989.63
ACC00164,Michael Marsh,Current,Philadelphia,Debit,5246.67,67614.29,USD,2022-12-20,2022,12,December,20,Tuesday,Outflow,Food,-5246.67
ACC00165,Wendy Wade,Recurring Deposit,San Diego,Credit,13387.11,64593.35,GBP,2023-12-03,2023,12,December,3,Sunday,Inflow,Transfer,5148.89
ACC00166,Luis Jacobs,Recurring Deposit,Phoenix,Debit,2382.77,30762.0,EUR,2024-02-27,2024,2,February,27,Tuesday,Outflow,Bills,-2382.77
ACC00167,Teresa Jones,Recurring Deposit,Phoenix,Credit,3619.22,13215.91,EUR,2024-08-23,2024,8,August,23,Friday,Inflow,Food,3619.22
ACC00168,Natasha Braun,Savings,Phoenix,Credit,8621.7,92951.88,INR,2023-12-10,2023,12,December,10,Sunday,Inflow,Food,6632.08
ACC00169,Brandy Boyd,Current,San Diego,Credit,12892.44,25222.31,JPY,2024-05-10,2024,5,May,10,Friday,Inflow,Food,12892.44
ACC00170,Anna Keller,Recurring Deposit,Houston,Debit,3543.25,15221.54,USD,2024-04-17,2024,4,April,17,Wednesday,Outflow,Transfer,-3543.25
ACC00171,Kaitlin Lamb,Savings,San Diego,Debit,2760.81,48382.31,JPY,2024-08-03,2024,8,August,3,Saturday,Outflow,Bills,-2123.7
ACC00172,Rebecca Edwards,Savings,Phoenix,Credit,1662.62,7807.42,USD,2023-04-26,2023,4,April,26,Wednesday,Inflow,Transfer,1662.62
ACC00173,Marie Mccall,Fixed Deposit,Phoenix,Debit,6730.48,8992.86,USD,2023-02-26,2023,2,February,26,Sunday,Outflow,Shopping,-5177.29
ACC00174,Anna Grimes,Savings,Phoenix,Credit,710.52,30465.71,JPY,2024-05-10,2024,5,May,10,Friday,Inflow,Transfer,710.52
